Run:Fill,LS,HLTpath,L1bit,HLTpresc,L1presc,Recorded(/ub),Effective(/ub)
190646:2486,46:46,HLT_Photon150_v1,L1_SingleEG30,1,1,5296.04483513,5296.04483513
190646:2486,47:47,HLT_Photon150_v1,L1_SingleEG30,1,1,5297.84557253,5297.84557253
190646:2486,48:48,HLT_Photon150_v1,L1_SingleEG30,1,1,5293.97412284,5293.97412284
190646:2486,49:49,HLT_Photon150_v1,L1_SingleEG30,1,1,5266.38717363,5266.38717363
190646:2486,50:50,HLT_Photon150_v1,L1_SingleEG30,1,1,5287.70827621,5287.70827621
190646:2486,51:51,HLT_Photon150_v1,L1_SingleEG30,1,1,5283.33942478,5283.33942478
190646:2486,52:52,HLT_Photon150_v1,L1_SingleEG30,1,1,5279.85688457,5279.85688457
190646:2486,53:53,HLT_Photon150_v1,L1_SingleEG30,1,1,5262.91558891,5262.91558891
190646:2486,54:54,HLT_Photon150_v1,L1_SingleEG30,1,1,5273.55252824,5273.55252824
190646:2486,55:55,HLT_Photon150_v1,L1_SingleEG30,1,1,4594.45273947,4594.45273947
190646:2486,56:56,HLT_Photon150_v1,L1_SingleEG30,1,1,5264.07579224,5264.07579224
190646:2486,57:57,HLT_Photon150_v1,L1_SingleEG30,1,1,5263.20266182,5263.20266182
190646:2486,58:58,HLT_Photon150_v1,L1_SingleEG30,1,1,5260.31620466,5260.31620466
190646:2486,59:59,HLT_Photon150_v1,L1_SingleEG30,1,1,5258.82799279,5258.82799279
190646:2486,60:60,HLT_Photon150_v1,L1_SingleEG30,1,1,4640.56251973,4640.56251973
190646:2486,61:61,HLT_Photon150_v1,L1_SingleEG30,1,1,5136.17930149,5136.17930149
190646:2486,62:62,HLT_Photon150_v1,L1_SingleEG30,1,1,5063.03901495,5063.03901495
190646:2486,63:63,HLT_Photon150_v1,L1_SingleEG30,1,1,5247.93197066,5247.93197066
190646:2486,64:64,HLT_Photon150_v1,L1_SingleEG30,1,1,5244.49629018,5244.49629018
190646:2486,65:65,HLT_Photon150_v1,L1_SingleEG30,1,1,5085.32847692,5085.32847692
190646:2486,66:66,HLT_Photon150_v1,L1_SingleEG30,1,1,5234.13121237,5234.13121237
190646:2486,67:67,HLT_Photon150_v1,L1_SingleEG30,1,1,5233.71880736,5233.71880736
190646:2486,68:68,HLT_Photon150_v1,L1_SingleEG30,1,1,5227.605473,5227.605473
190646:2486,69:69,HLT_Photon150_v1,L1_SingleEG30,1,1,5174.07336066,5174.07336066
190646:2486,70:70,HLT_Photon150_v1,L1_SingleEG30,1,1,5209.52794652,5209.52794652
190646:2486,71:71,HLT_Photon150_v1,L1_SingleEG30,1,1,4973.75632659,4973.75632659
190646:2486,72:72,HLT_Photon150_v1,L1_SingleEG30,1,1,5217.57084384,5217.57084384
190646:2486,73:73,HLT_Photon150_v1,L1_SingleEG30,1,1,5214.39344301,5214.39344301
190646:2486,74:74,HLT_Photon150_v1,L1_SingleEG30,1,1,5208.98419254,5208.98419254
190646:2486,75:75,HLT_Photon150_v1,L1_SingleEG30,1,1,5200.93283133,5200.93283133
190646:2486,76:76,HLT_Photon150_v1,L1_SingleEG30,1,1,5199.55754361,5199.55754361
190646:2486,77:77,HLT_Photon150_v1,L1_SingleEG30,1,1,5188.67172217,5188.67172217
190646:2486,78:78,HLT_Photon150_v1,L1_SingleEG30,1,1,5199.08634853,5199.08634853
190646:2486,79:79,HLT_Photon150_v1,L1_SingleEG30,1,1,5184.16117496,5184.16117496
190646:2486,80:80,HLT_Photon150_v1,L1_SingleEG30,1,1,4697.45597831,4697.45597831
190646:2486,81:81,HLT_Photon150_v1,L1_SingleEG30,1,1,5178.52536167,5178.52536167
190646:2486,82:82,HLT_Photon150_v1,L1_SingleEG30,1,1,5185.94481085,5185.94481085
190646:2486,83:83,HLT_Photon150_v1,L1_SingleEG30,1,1,5176.26729447,5176.26729447
190646:2486,84:84,HLT_Photon150_v1,L1_SingleEG30,1,1,5165.48140861,5165.48140861
190646:2486,85:85,HLT_Photon150_v1,L1_SingleEG30,1,1,5171.21836703,5171.21836703
190646:2486,86:86,HLT_Photon150_v1,L1_SingleEG30,1,1,5160.96873462,5160.96873462
190646:2486,87:87,HLT_Photon150_v1,L1_SingleEG30,1,1,5141.36023912,5141.36023912
190646:2486,88:88,HLT_Photon150_v1,L1_SingleEG30,1,1,5162.96189289,5162.96189289
190646:2486,89:89,HLT_Photon150_v1,L1_SingleEG30,1,1,5171.1961627,5171.1961627
190646:2486,90:90,HLT_Photon150_v1,L1_SingleEG30,1,1,5165.86136837,5165.86136837
190646:2486,91:91,HLT_Photon150_v1,L1_SingleEG30,1,1,5163.08597367,5163.08597367
190646:2486,92:92,HLT_Photon150_v1,L1_SingleEG30,1,1,5157.78375646,5157.78375646
190646:2486,93:93,HLT_Photon150_v1,L1_SingleEG30,1,1,5139.90006563,5139.90006563
190646:2486,94:94,HLT_Photon150_v1,L1_SingleEG30,1,1,5150.32819169,5150.32819169
190646:2486,95:95,HLT_Photon150_v1,L1_SingleEG30,1,1,5148.47262351,5148.47262351
190646:2486,96:96,HLT_Photon150_v1,L1_SingleEG30,1,1,5148.31333221,5148.31333221
190646:2486,97:97,HLT_Photon150_v1,L1_SingleEG30,1,1,5146.01245369,5146.01245369
190646:2486,98:98,HLT_Photon150_v1,L1_SingleEG30,1,1,4923.19271408,4923.19271408
190646:2486,99:99,HLT_Photon150_v1,L1_SingleEG30,1,1,4851.03627235,4851.03627235
190646:2486,100:100,HLT_Photon150_v1,L1_SingleEG30,1,1,5122.55425045,5122.55425045
190646:2486,101:101,HLT_Photon150_v1,L1_SingleEG30,1,1,5133.89625531,5133.89625531
190646:2486,102:102,HLT_Photon150_v1,L1_SingleEG30,1,1,5128.30253763,5128.30253763
190646:2486,103:103,HLT_Photon150_v1,L1_SingleEG30,1,1,4124.9160226,4124.9160226
190646:2486,104:104,HLT_Photon150_v1,L1_SingleEG30,1,1,5127.49491842,5127.49491842
190646:2486,105:105,HLT_Photon150_v1,L1_SingleEG30,1,1,5113.48449354,5113.48449354
190646:2486,106:106,HLT_Photon150_v1,L1_SingleEG30,1,1,4844.5070498,4844.5070498
190646:2486,107:107,HLT_Photon150_v1,L1_SingleEG30,1,1,5131.95875639,5131.95875639
190646:2486,108:108,HLT_Photon150_v1,L1_SingleEG30,1,1,5132.60750349,5132.60750349
190646:2486,109:109,HLT_Photon150_v1,L1_SingleEG30,1,1,5121.44692294,5121.44692294
190646:2486,110:110,HLT_Photon150_v1,L1_SingleEG30,1,1,5128.59909629,5128.59909629
190646:2486,111:111,HLT_Photon150_v1,L1_SingleEG30,1,1,5127.46743481,5127.46743481
190659:2488,33:33,HLT_Photon150_v1,L1_SingleEG30,1,1,20064.4994351,20064.4994351
190659:2488,34:34,HLT_Photon150_v1,L1_SingleEG30,1,1,21216.6469774,21216.6469774
190659:2488,35:35,HLT_Photon150_v1,L1_SingleEG30,1,1,19288.9457255,19288.9457255
190659:2488,36:36,HLT_Photon150_v1,L1_SingleEG30,1,1,21314.1162469,21314.1162469
190659:2488,37:37,HLT_Photon150_v1,L1_SingleEG30,1,1,21236.2470466,21236.2470466
190659:2488,38:38,HLT_Photon150_v1,L1_SingleEG30,1,1,21262.2518423,21262.2518423
190659:2488,39:39,HLT_Photon150_v1,L1_SingleEG30,1,1,21162.0436851,21162.0436851
190659:2488,40:40,HLT_Photon150_v1,L1_SingleEG30,1,1,20830.1421911,20830.1421911
190659:2488,41:41,HLT_Photon150_v1,L1_SingleEG30,1,1,19762.0892405,19762.0892405
190659:2488,42:42,HLT_Photon150_v1,L1_SingleEG30,1,1,18167.131716,18167.131716
190659:2488,43:43,HLT_Photon150_v1,L1_SingleEG30,1,1,14429.1381043,14429.1381043
190659:2488,44:44,HLT_Photon150_v1,L1_SingleEG30,1,1,15776.0942304,15776.0942304
190659:2488,45:45,HLT_Photon150_v1,L1_SingleEG30,1,1,15743.176345,15743.176345
190659:2488,46:46,HLT_Photon150_v1,L1_SingleEG30,1,1,15786.2464556,15786.2464556
190659:2488,47:47,HLT_Photon150_v1,L1_SingleEG30,1,1,15823.492245,15823.492245
190659:2488,48:48,HLT_Photon150_v1,L1_SingleEG30,1,1,15852.6778022,15852.6778022
